H	Ext	Back	LR	SR	
1072.5	2.8798065E-5	5.7596129E-7	50	1.3931053	
1076.25	2.9211574E-5	5.8423148E-7	50	1.3988269	
1080	2.9651632E-5	5.9303263E-7	50	1.4049132	
1083.75	2.9882772E-5	5.9765544E-7	50	1.4081485	
1087.5	3.0017818E-5	6.0035636E-7	50	1.4100722	
1091.25	3.0299931E-5	6.0599863E-7	50	1.4140062	
1095	3.0659156E-5	6.1318312E-7	50	1.4189955	
1098.75	3.0886769E-5	6.1773538E-7	50	1.4221877	
1102.5	3.1168301E-5	6.2336601E-7	50	1.4261183	
1106.25	3.159858E-5	6.319716E-7	50	1.4320844	
1110	3.1778861E-5	6.3557721E-7	50	1.4346336	
1113.75	3.1862424E-5	6.3724848E-7	50	1.4358608	
1117.5	3.2055217E-5	6.4110435E-7	50	1.4385829	
1121.25	3.2139184E-5	6.4278369E-7	50	1.4398168	
1125	3.2249433E-5	6.4498867E-7	50	1.4414109	
1128.75	3.2548114E-5	6.5096228E-7	50	1.4455853	
1132.5	3.2663612E-5	6.5327224E-7	50	1.447253	
1136.25	3.2830059E-5	6.5660118E-7	50	1.4496191	
1140	3.3278393E-5	6.6556786E-7	50	1.4558473	
1143.75	3.3449516E-5	6.6899031E-7	50	1.4582801	
1147.5	3.3703433E-5	6.7406866E-7	50	1.4618483	
1151.25	3.4232967E-5	6.8465935E-7	50	1.4691955	
1155	3.4461443E-5	6.8922886E-7	50	1.4724184	
1158.75	3.4566111E-5	6.9132221E-7	50	1.4739451	
1162.5	3.4875663E-5	6.9751325E-7	50	1.4782821	
1166.25	3.5314161E-5	7.0628321E-7	50	1.4843895	
1170	3.5942916E-5	7.1885832E-7	50	1.4931094	
1173.75	3.6525845E-5	7.3051691E-7	50	1.5012039	
1177.5	3.7017834E-5	7.4035668E-7	50	1.5080535	
1181.25	3.7851231E-5	7.5702463E-7	50	1.5195924	
1185	3.8253323E-5	7.6506647E-7	50	1.5252139	
1188.75	3.8533041E-5	7.7066082E-7	50	1.5291572	
1192.5	3.9634506E-5	7.9269013E-7	50	1.5443889	
1196.25	4.0692355E-5	8.138471E-7	50	1.5590274	
1200	4.1249655E-5	8.249931E-7	50	1.5667938	
1203.75	4.205661E-5	8.411322E-7	50	1.5779943	
1207.5	4.3234833E-5	8.6469665E-7	50	1.5943026	
1211.25	4.4070091E-5	8.8140182E-7	50	1.605902	
